phase,url,source_file,page_type,local_status,production_status,indexable,robots_directives,canonical,canonical_target_status,title,title_length,meta_description,description_length,h1,heading_structure,word_count,lang,published_date,modified_date,author,breadcrumbs,schema_types,internal_inbound_links,internal_outbound_links,external_outbound_links,broken_internal_links,broken_external_links,image_count,missing_alt,missing_dimensions,page_depth,orphan,sitemap_included,duplicate_title,duplicate_description,content_hash,issues
baseline,https://agents.kujolang.ai/404.html,templates/404.html,404,404,,false,"noindex,follow",,,Page Not Found | Kujo Agents,28,Page not found,14,Agent not found,h1:Agent not found,56,en,,,Robert DeVore,False,,0,14,5,0,not fully probed,2,0,0,1,false,False,false,false,cdee7b0ad4f7ad5c3af076768338404e4d087c545ff10c86dcf3961249d895ed,
baseline,https://agents.kujolang.ai/agents/accessibility-auditor/,content/agents/accessibility-auditor.md,agent,200,200,true,"default index,follow",https://agents.kujolang.ai/agents/accessibility-auditor/,200,Accessibility Auditor | Kujo WebOps | Kujo Agents,49,Run repeatable automated accessibility checks and produce evidence-backed repair priorities with explicit manual-review gaps.,125,Accessibility Auditor,h1:Accessibility Auditor | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Degraded Operation | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,593,en,,2026-08-11,Kujo,True,SoftwareSourceCode;Organization,4,16,7,0,not fully probed,3,0,0,1,false,True,false,false,99f57d3f1ef4b5ef86cfd78f068199d411ab648d751936c2a1ea4dfafc5cdb13,
baseline,https://agents.kujolang.ai/agents/ai-search-visibility-analyst/,content/agents/ai-search-visibility-analyst.md,agent,200,200,true,"default index,follow",https://agents.kujolang.ai/agents/ai-search-visibility-analyst/,200,AI Search Visibility Analyst | Kujo WebOps | Kujo Agents,56,Run repeatable fixed-query visibility benchmarks across explicitly configured AI and search surfaces.,101,AI Search Visibility Analyst,h1:AI Search Visibility Analyst | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Degraded Operation | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,596,en,,2026-08-11,Kujo,True,SoftwareSourceCode;Organization,4,16,7,0,not fully probed,3,0,0,1,false,True,false,false,fde88e8373862499c51751959f00642e8e4cce4e70434a7268897cc517a58c11,
baseline,https://agents.kujolang.ai/agents/analytics-analyst/,content/agents/analytics-analyst.md,agent,200,200,true,"default index,follow",https://agents.kujolang.ai/agents/analytics-analyst/,200,Analytics Analyst | Kujo WebOps | Kujo Agents,45,"Analyze measured website behavior from a real analytics capability while preserving dimensions, metrics, identity settings, and uncertainty.",140,Analytics Analyst,h1:Analytics Analyst | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Degraded Operation | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,604,en,,2026-08-11,Kujo,True,SoftwareSourceCode;Organization,4,16,7,0,not fully probed,3,0,0,1,false,True,false,false,d3e80512ebec71cf3f0f1f32cdedb9aede33d260d403a2f28c911b8aae94fe01,
baseline,https://agents.kujolang.ai/agents/art-director/,content/agents/art-director.md,agent,200,200,true,"default index,follow",https://agents.kujolang.ai/agents/art-director/,200,Art Director | Kujo Publishing House | Kujo Agents,50,"Define visual concepts, systems, composition, typography direction, illustration language, diagrams, proof cards, and campaign coherence.",137,Art Director,h1:Art Director | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Quality Standard | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,525,en,,2026-08-14,Kujo,True,SoftwareSourceCode;Organization,4,16,7,0,not fully probed,3,0,0,1,false,True,false,false,46cf457d4f65208b35628bdcaf3e87652fe906354891c14fb44ed8cc420b78cd,
baseline,https://agents.kujolang.ai/agents/audience-development-director/,content/agents/audience-development-director.md,agent,200,200,true,"default index,follow",https://agents.kujolang.ai/agents/audience-development-director/,200,Audience Development Director | Kujo Publishing House | Kujo Agents,67,"Design distribution, subscriber, community, and audience-learning strategy around approved editorial work and measured behavior.",128,Audience Development Director,h1:Audience Development Director | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Quality Standard | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,515,en,,2026-08-14,Kujo,True,SoftwareSourceCode;Organization,4,16,7,0,not fully probed,3,0,0,1,false,True,false,false,b7e6c74a3816961833de38f972db185b3b907ef88903c332830f432d51dddbdd,
baseline,https://agents.kujolang.ai/agents/backend-developer/,content/agents/backend-developer.md,agent,200,200,true,"default index,follow",https://agents.kujolang.ai/agents/backend-developer/,200,Backend Developer | Kujo Chain of Command | Kujo Agents,55,"Implement APIs, persistence, jobs, auth boundaries, service logic, and server-side integrations within a bounded task.",118,Backend Developer,h1:Backend Developer | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,329,en,,2026-07-05,Kujo,True,SoftwareSourceCode;Organization,4,16,7,0,not fully probed,3,0,0,1,false,True,false,false,02b3363363cc6136543636824a1d8fb34c398b682b51c6a2c6f5e79b140206d7,
baseline,https://agents.kujolang.ai/agents/backlink-mention-analyst/,content/agents/backlink-mention-analyst.md,agent,200,200,true,"default index,follow",https://agents.kujolang.ai/agents/backlink-mention-analyst/,200,Backlink & Mention Analyst | Kujo WebOps | Kujo Agents,54,"Analyze new and lost backlinks, relevant or unlinked mentions, and evidence-backed suspicious links.",100,Backlink & Mention Analyst,h1:Backlink & Mention Analyst | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Degraded Operation | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,594,en,,2026-08-11,Kujo,True,SoftwareSourceCode;Organization,4,16,7,0,not fully probed,3,0,0,1,false,True,false,false,d54a2f852abecaadf340f875a490aa633b95e2aba517c792028a158a3cf5ee08,
baseline,https://agents.kujolang.ai/agents/brand-strategy-director/,content/agents/brand-strategy-director.md,agent,200,200,true,"default index,follow",https://agents.kujolang.ai/agents/brand-strategy-director/,200,Brand Strategy Director | Kujo Publishing House | Kujo Agents,61,"Define positioning, category framing, audience promise, differentiation, voice principles, distinctive assets, and brand boundaries.",132,Brand Strategy Director,h1:Brand Strategy Director | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Quality Standard | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,521,en,,2026-08-14,Kujo,True,SoftwareSourceCode;Organization,4,16,7,0,not fully probed,3,0,0,1,false,True,false,false,5810bf04a9f9974c24006b173c34b2f25b6e8b3c5921a0898326cbb00d8b620f,
baseline,https://agents.kujolang.ai/agents/campaign-copywriter/,content/agents/campaign-copywriter.md,agent,200,200,true,"default index,follow",https://agents.kujolang.ai/agents/campaign-copywriter/,200,Campaign Copywriter | Kujo Publishing House | Kujo Agents,57,"Write headlines, campaign lines, landing copy, launch messaging, email copy, calls to action, and concise persuasive variants.",126,Campaign Copywriter,h1:Campaign Copywriter | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Quality Standard | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,534,en,,2026-08-14,Kujo,True,SoftwareSourceCode;Organization,4,16,7,0,not fully probed,3,0,0,1,false,True,false,false,32fd0a81d54ba2e73e6b739c995a738a9718fba862c8f750742ca06f961bd0a4,
baseline,https://agents.kujolang.ai/agents/cannibalization-analyst/,content/agents/cannibalization-analyst.md,agent,200,200,true,"default index,follow",https://agents.kujolang.ai/agents/cannibalization-analyst/,200,Cannibalization Analyst | Kujo WebOps | Kujo Agents,51,Identify pages substantially competing for the same intent while separating normal topical overlap from likely cannibalization.,127,Cannibalization Analyst,h1:Cannibalization Analyst | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Degraded Operation | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,600,en,,2026-08-11,Kujo,True,SoftwareSourceCode;Organization,4,16,7,0,not fully probed,3,0,0,1,false,True,false,false,bc1ca256b1e349b65d0f8716fd3afd7b9f347fa916df0f288651169057ee1f1b,
