phase,url,page_depth,internal_inbound_links,internal_outbound_links,external_outbound_links,orphan,pages_over_three_clicks,broken_internal_links,redirect_chain,crawlable_html_links,issues
after,https://agents.kujolang.ai/404.html,1,0,14,5,false,false,0,0,true,
after,https://agents.kujolang.ai/agents/accessibility-auditor/,1,4,16,7,false,false,0,0,true,
after,https://agents.kujolang.ai/agents/ai-search-visibility-analyst/,1,4,16,7,false,false,0,0,true,
after,https://agents.kujolang.ai/agents/analytics-analyst/,1,4,16,7,false,false,0,0,true,
after,https://agents.kujolang.ai/agents/art-director/,1,4,16,7,false,false,0,0,true,
after,https://agents.kujolang.ai/agents/audience-development-director/,1,4,16,7,false,false,0,0,true,
after,https://agents.kujolang.ai/agents/backend-developer/,1,4,16,7,false,false,0,0,true,
after,https://agents.kujolang.ai/agents/backlink-mention-analyst/,1,4,16,7,false,false,0,0,true,
after,https://agents.kujolang.ai/agents/brand-strategy-director/,1,4,16,7,false,false,0,0,true,
after,https://agents.kujolang.ai/agents/campaign-copywriter/,1,4,16,7,false,false,0,0,true,
after,https://agents.kujolang.ai/agents/cannibalization-analyst/,1,4,16,7,false,false,0,0,true,
after,https://agents.kujolang.ai/agents/case-study-editor/,1,4,16,7,false,false,0,0,true,
after,https://agents.kujolang.ai/agents/chain-of-command/,1,258,43,6,false,false,0,0,true,
after,https://agents.kujolang.ai/agents/chief-of-staff/,1,4,16,7,false,false,0,0,true,
after,https://agents.kujolang.ai/agents/code-reviewer/,1,4,16,7,false,false,0,0,true,
after,https://agents.kujolang.ai/agents/commissioning-editor/,1,4,16,7,false,false,0,0,true,
after,https://agents.kujolang.ai/agents/competitor-intelligence-analyst/,1,4,16,7,false,false,0,0,true,
after,https://agents.kujolang.ai/agents/content-accuracy-reviewer/,1,4,16,7,false,false,0,0,true,
after,https://agents.kujolang.ai/agents/content-decay-analyst/,1,4,16,7,false,false,0,0,true,
after,https://agents.kujolang.ai/agents/content-gap-analyst/,1,4,16,7,false,false,0,0,true,
after,https://agents.kujolang.ai/agents/content-portfolio-manager/,1,4,16,7,false,false,0,0,true,
after,https://agents.kujolang.ai/agents/content-pruning-analyst/,1,4,16,7,false,false,0,0,true,
after,https://agents.kujolang.ai/agents/context-packager/,1,4,16,7,false,false,0,0,true,
after,https://agents.kujolang.ai/agents/copy-chief/,1,4,16,7,false,false,0,0,true,
after,https://agents.kujolang.ai/agents/core-developer/,1,4,16,7,false,false,0,0,true,
after,https://agents.kujolang.ai/agents/creative-director/,1,4,16,7,false,false,0,0,true,
after,https://agents.kujolang.ai/agents/dependency-scanner/,1,4,16,7,false,false,0,0,true,
after,https://agents.kujolang.ai/agents/developmental-editor/,1,4,16,7,false,false,0,0,true,
after,https://agents.kujolang.ai/agents/director-of-editorial-intelligence/,1,4,16,7,false,false,0,0,true,
after,https://agents.kujolang.ai/agents/distribution-operator/,1,4,16,7,false,false,0,0,true,
after,https://agents.kujolang.ai/agents/documentation-writer/,1,4,16,7,false,false,0,0,true,
after,https://agents.kujolang.ai/agents/editor-in-chief/,1,4,16,7,false,false,0,0,true,
after,https://agents.kujolang.ai/agents/editorial-strategy-director/,1,4,16,7,false,false,0,0,true,
after,https://agents.kujolang.ai/agents/features-writer/,1,4,16,7,false,false,0,0,true,
after,https://agents.kujolang.ai/agents/franchise-adaptation-editor/,1,4,16,7,false,false,0,0,true,
after,https://agents.kujolang.ai/agents/frontend-developer/,1,4,16,7,false,false,0,0,true,
after,https://agents.kujolang.ai/agents/general-commander/,1,4,16,7,false,false,0,0,true,
after,https://agents.kujolang.ai/agents/,1,334,96,5,false,false,0,0,true,
after,https://agents.kujolang.ai/agents/indexation-analyst/,1,4,16,7,false,false,0,0,true,
after,https://agents.kujolang.ai/agents/information-architecture-auditor/,1,4,16,7,false,false,0,0,true,
after,https://agents.kujolang.ai/agents/integration-engineer/,1,4,16,7,false,false,0,0,true,
after,https://agents.kujolang.ai/agents/internal-link-specialist/,1,4,16,7,false,false,0,0,true,
after,https://agents.kujolang.ai/agents/issue-hygiene-worker/,1,4,16,7,false,false,0,0,true,
after,https://agents.kujolang.ai/agents/keyword-opportunity-analyst/,1,4,16,7,false,false,0,0,true,
after,https://agents.kujolang.ai/agents/link-health-auditor/,1,4,16,7,false,false,0,0,true,
after,https://agents.kujolang.ai/agents/lint-runner/,1,4,16,7,false,false,0,0,true,
after,https://agents.kujolang.ai/agents/managing-editor/,1,4,16,7,false,false,0,0,true,
after,https://agents.kujolang.ai/agents/metadata-auditor/,1,4,16,7,false,false,0,0,true,
