phase,url,title,title_length,meta_description,description_length,h1_count,canonical,og_title,og_description,og_url,og_image,twitter_card,twitter_title,twitter_description,twitter_image,issues
after,https://agents.kujolang.ai/404.html,Page Not Found | Kujo Agents,28,Page not found,14,1,,Page Not Found,Page not found,https://agents.kujolang.ai/404.html,https://agents.kujolang.ai/assets/images/social/404.jpg,summary_large_image,Page Not Found,Page not found,https://agents.kujolang.ai/assets/images/social/404.jpg,
after,https://agents.kujolang.ai/agents/accessibility-auditor/,Accessibility Auditor | Kujo WebOps | Kujo Agents,49,Run repeatable automated accessibility checks and produce evidence-backed repair priorities with explicit manual-review gaps.,125,1,https://agents.kujolang.ai/agents/accessibility-auditor/,Accessibility Auditor | Kujo WebOps,Run repeatable automated accessibility checks and produce evidence-backed repair priorities with explicit manual-review gaps.,https://agents.kujolang.ai/agents/accessibility-auditor/,https://agents.kujolang.ai/assets/images/social/accessibility-auditor.jpg,summary_large_image,Accessibility Auditor | Kujo WebOps,Run repeatable automated accessibility checks and produce evidence-backed repair priorities with explicit manual-review gaps.,https://agents.kujolang.ai/assets/images/social/accessibility-auditor.jpg,
after,https://agents.kujolang.ai/agents/ai-search-visibility-analyst/,AI Search Visibility Analyst | Kujo WebOps | Kujo Agents,56,Run repeatable fixed-query visibility benchmarks across explicitly configured AI and search surfaces.,101,1,https://agents.kujolang.ai/agents/ai-search-visibility-analyst/,AI Search Visibility Analyst | Kujo WebOps,Run repeatable fixed-query visibility benchmarks across explicitly configured AI and search surfaces.,https://agents.kujolang.ai/agents/ai-search-visibility-analyst/,https://agents.kujolang.ai/assets/images/social/ai-search-visibility-analyst.jpg,summary_large_image,AI Search Visibility Analyst | Kujo WebOps,Run repeatable fixed-query visibility benchmarks across explicitly configured AI and search surfaces.,https://agents.kujolang.ai/assets/images/social/ai-search-visibility-analyst.jpg,
after,https://agents.kujolang.ai/agents/analytics-analyst/,Analytics Analyst | Kujo WebOps | Kujo Agents,45,"Analyze measured website behavior from a real analytics capability while preserving dimensions, metrics, identity settings, and uncertainty.",140,1,https://agents.kujolang.ai/agents/analytics-analyst/,Analytics Analyst | Kujo WebOps,"Analyze measured website behavior from a real analytics capability while preserving dimensions, metrics, identity settings, and uncertainty.",https://agents.kujolang.ai/agents/analytics-analyst/,https://agents.kujolang.ai/assets/images/social/analytics-analyst.jpg,summary_large_image,Analytics Analyst | Kujo WebOps,"Analyze measured website behavior from a real analytics capability while preserving dimensions, metrics, identity settings, and uncertainty.",https://agents.kujolang.ai/assets/images/social/analytics-analyst.jpg,
after,https://agents.kujolang.ai/agents/art-director/,Art Director | Kujo Publishing House | Kujo Agents,50,"Define visual concepts, systems, composition, typography direction, illustration language, diagrams, proof cards, and campaign coherence.",137,1,https://agents.kujolang.ai/agents/art-director/,Art Director | Kujo Publishing House,"Define visual concepts, systems, composition, typography direction, illustration language, diagrams, proof cards, and campaign coherence.",https://agents.kujolang.ai/agents/art-director/,https://agents.kujolang.ai/assets/images/social/art-director.jpg,summary_large_image,Art Director | Kujo Publishing House,"Define visual concepts, systems, composition, typography direction, illustration language, diagrams, proof cards, and campaign coherence.",https://agents.kujolang.ai/assets/images/social/art-director.jpg,
after,https://agents.kujolang.ai/agents/audience-development-director/,Audience Development Director | Kujo Publishing House | Kujo Agents,67,"Design distribution, subscriber, community, and audience-learning strategy around approved editorial work and measured behavior.",128,1,https://agents.kujolang.ai/agents/audience-development-director/,Audience Development Director | Kujo Publishing House,"Design distribution, subscriber, community, and audience-learning strategy around approved editorial work and measured behavior.",https://agents.kujolang.ai/agents/audience-development-director/,https://agents.kujolang.ai/assets/images/social/audience-development-director.jpg,summary_large_image,Audience Development Director | Kujo Publishing House,"Design distribution, subscriber, community, and audience-learning strategy around approved editorial work and measured behavior.",https://agents.kujolang.ai/assets/images/social/audience-development-director.jpg,
after,https://agents.kujolang.ai/agents/backend-developer/,Backend Developer | Kujo Chain of Command | Kujo Agents,55,"Implement APIs, persistence, jobs, auth boundaries, service logic, and server-side integrations within a bounded task.",118,1,https://agents.kujolang.ai/agents/backend-developer/,Backend Developer | Kujo Chain of Command,"Implement APIs, persistence, jobs, auth boundaries, service logic, and server-side integrations within a bounded task.",https://agents.kujolang.ai/agents/backend-developer/,https://agents.kujolang.ai/assets/images/social/backend-developer.jpg,summary_large_image,Backend Developer | Kujo Chain of Command,"Implement APIs, persistence, jobs, auth boundaries, service logic, and server-side integrations within a bounded task.",https://agents.kujolang.ai/assets/images/social/backend-developer.jpg,
after,https://agents.kujolang.ai/agents/backlink-mention-analyst/,Backlink & Mention Analyst | Kujo WebOps | Kujo Agents,54,"Analyze new and lost backlinks, relevant or unlinked mentions, and evidence-backed suspicious links.",100,1,https://agents.kujolang.ai/agents/backlink-mention-analyst/,Backlink & Mention Analyst | Kujo WebOps,"Analyze new and lost backlinks, relevant or unlinked mentions, and evidence-backed suspicious links.",https://agents.kujolang.ai/agents/backlink-mention-analyst/,https://agents.kujolang.ai/assets/images/social/backlink-mention-analyst.jpg,summary_large_image,Backlink & Mention Analyst | Kujo WebOps,"Analyze new and lost backlinks, relevant or unlinked mentions, and evidence-backed suspicious links.",https://agents.kujolang.ai/assets/images/social/backlink-mention-analyst.jpg,
after,https://agents.kujolang.ai/agents/brand-strategy-director/,Brand Strategy Director | Kujo Publishing House | Kujo Agents,61,"Define positioning, category framing, audience promise, differentiation, voice principles, distinctive assets, and brand boundaries.",132,1,https://agents.kujolang.ai/agents/brand-strategy-director/,Brand Strategy Director | Kujo Publishing House,"Define positioning, category framing, audience promise, differentiation, voice principles, distinctive assets, and brand boundaries.",https://agents.kujolang.ai/agents/brand-strategy-director/,https://agents.kujolang.ai/assets/images/social/brand-strategy-director.jpg,summary_large_image,Brand Strategy Director | Kujo Publishing House,"Define positioning, category framing, audience promise, differentiation, voice principles, distinctive assets, and brand boundaries.",https://agents.kujolang.ai/assets/images/social/brand-strategy-director.jpg,
after,https://agents.kujolang.ai/agents/campaign-copywriter/,Campaign Copywriter | Kujo Publishing House | Kujo Agents,57,"Write headlines, campaign lines, landing copy, launch messaging, email copy, calls to action, and concise persuasive variants.",126,1,https://agents.kujolang.ai/agents/campaign-copywriter/,Campaign Copywriter | Kujo Publishing House,"Write headlines, campaign lines, landing copy, launch messaging, email copy, calls to action, and concise persuasive variants.",https://agents.kujolang.ai/agents/campaign-copywriter/,https://agents.kujolang.ai/assets/images/social/campaign-copywriter.jpg,summary_large_image,Campaign Copywriter | Kujo Publishing House,"Write headlines, campaign lines, landing copy, launch messaging, email copy, calls to action, and concise persuasive variants.",https://agents.kujolang.ai/assets/images/social/campaign-copywriter.jpg,
