phase,url,primary_topic,primary_entity,search_intent,primary_query_theme,secondary_queries,related_entities,relevant_questions,competing_internal_url,content_gap,recommended_action
after,https://agents.kujolang.ai/404.html,Explain that the requested route is unavailable.,Kujo Agents,Error recovery,page not found,agent directory,Kujo; AI agents; agent contracts; multi-agent workflows,,,Not applicable to search; excluded from indexing.,Keep noindex and route users to the agent directory.
after,https://agents.kujolang.ai/agents/accessibility-auditor/,Publish the operating contract for the Accessibility Auditor agent role.,Accessibility Auditor agent,Informational and implementation-oriented,Accessibility Auditor AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Kujo; AI agents; agent contracts; multi-agent workflows,When should I use a Accessibility Auditor agent?; What inputs and outputs does Accessibility Auditor require?,,No worked usage example or version history is included beyond the source-linked contract and update date.,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/ai-search-visibility-analyst/,Publish the operating contract for the AI Search Visibility Analyst agent role.,AI Search Visibility Analyst agent,Informational and implementation-oriented,AI Search Visibility Analyst AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Kujo; AI agents; agent contracts; multi-agent workflows,When should I use a AI Search Visibility Analyst agent?; What inputs and outputs does AI Search Visibility Analyst require?,,No worked usage example or version history is included beyond the source-linked contract and update date.,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/analytics-analyst/,Publish the operating contract for the Analytics Analyst agent role.,Analytics Analyst agent,Informational and implementation-oriented,Analytics Analyst AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Kujo; AI agents; agent contracts; multi-agent workflows,When should I use a Analytics Analyst agent?; What inputs and outputs does Analytics Analyst require?,,No worked usage example or version history is included beyond the source-linked contract and update date.,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/art-director/,Publish the operating contract for the Art Director agent role.,Art Director agent,Informational and implementation-oriented,Art Director AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Kujo; AI agents; agent contracts; multi-agent workflows,When should I use a Art Director agent?; What inputs and outputs does Art Director require?,,No worked usage example or version history is included beyond the source-linked contract and update date.,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/audience-development-director/,Publish the operating contract for the Audience Development Director agent role.,Audience Development Director agent,Informational and implementation-oriented,Audience Development Director AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Kujo; AI agents; agent contracts; multi-agent workflows,When should I use a Audience Development Director agent?; What inputs and outputs does Audience Development Director require?,,No worked usage example or version history is included beyond the source-linked contract and update date.,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/backend-developer/,Publish the operating contract for the Backend Developer agent role.,Backend Developer agent,Informational and implementation-oriented,Backend Developer AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Kujo; AI agents; agent contracts; multi-agent workflows,When should I use a Backend Developer agent?; What inputs and outputs does Backend Developer require?,,No worked usage example or version history is included beyond the source-linked contract and update date.,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/backlink-mention-analyst/,Publish the operating contract for the Backlink & Mention Analyst agent role.,Backlink & Mention Analyst agent,Informational and implementation-oriented,Backlink & Mention Analyst AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Kujo; AI agents; agent contracts; multi-agent workflows,When should I use a Backlink & Mention Analyst agent?; What inputs and outputs does Backlink & Mention Analyst require?,,No worked usage example or version history is included beyond the source-linked contract and update date.,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/brand-strategy-director/,Publish the operating contract for the Brand Strategy Director agent role.,Brand Strategy Director agent,Informational and implementation-oriented,Brand Strategy Director AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Kujo; AI agents; agent contracts; multi-agent workflows,When should I use a Brand Strategy Director agent?; What inputs and outputs does Brand Strategy Director require?,,No worked usage example or version history is included beyond the source-linked contract and update date.,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/campaign-copywriter/,Publish the operating contract for the Campaign Copywriter agent role.,Campaign Copywriter agent,Informational and implementation-oriented,Campaign Copywriter AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Kujo; AI agents; agent contracts; multi-agent workflows,When should I use a Campaign Copywriter agent?; What inputs and outputs does Campaign Copywriter require?,,No worked usage example or version history is included beyond the source-linked contract and update date.,Add only source-grounded examples and change history when they exist.
