phase,url,source_file,page_type,primary_purpose,search_intent,target_audience,central_entity,primary_query_theme,supporting_topics,h1,heading_structure,word_count,published_date,modified_date,first_hand_signals,content_gap,competing_internal_url,recommended_action
after,https://agents.kujolang.ai/404.html,templates/404.html,404,Explain that the requested route is unavailable.,Error recovery,Visitors who reached a missing route,Kujo Agents,page not found,agent directory,Agent not found,h1:Agent not found,44,,,Repository-generated inventory and direct links to source contracts.,Not applicable to search; excluded from indexing.,,Keep noindex and route users to the agent directory.
after,https://agents.kujolang.ai/agents/accessibility-auditor/,content/agents/accessibility-auditor.md,agent,Publish the operating contract for the Accessibility Auditor agent role.,Informational and implementation-oriented,Developers and operators delegating bounded work to AI agents,Accessibility Auditor agent,Accessibility Auditor AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Accessibility Auditor,h1:Accessibility Auditor | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Degraded Operation | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,581,,2026-08-11,Source-linked operating contract with explicit workflow and evidence requirements.,No worked usage example or version history is included beyond the source-linked contract and update date.,,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/ai-search-visibility-analyst/,content/agents/ai-search-visibility-analyst.md,agent,Publish the operating contract for the AI Search Visibility Analyst agent role.,Informational and implementation-oriented,Developers and operators delegating bounded work to AI agents,AI Search Visibility Analyst agent,AI Search Visibility Analyst AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,AI Search Visibility Analyst,h1:AI Search Visibility Analyst | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Degraded Operation | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,584,,2026-08-11,Source-linked operating contract with explicit workflow and evidence requirements.,No worked usage example or version history is included beyond the source-linked contract and update date.,,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/analytics-analyst/,content/agents/analytics-analyst.md,agent,Publish the operating contract for the Analytics Analyst agent role.,Informational and implementation-oriented,Developers and operators delegating bounded work to AI agents,Analytics Analyst agent,Analytics Analyst AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Analytics Analyst,h1:Analytics Analyst | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Degraded Operation | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,592,,2026-08-11,Source-linked operating contract with explicit workflow and evidence requirements.,No worked usage example or version history is included beyond the source-linked contract and update date.,,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/backend-developer/,content/agents/backend-developer.md,agent,Publish the operating contract for the Backend Developer agent role.,Informational and implementation-oriented,Developers and operators delegating bounded work to AI agents,Backend Developer agent,Backend Developer AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Backend Developer,h1:Backend Developer | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,317,,2026-07-05,Source-linked operating contract with explicit workflow and evidence requirements.,No worked usage example or version history is included beyond the source-linked contract and update date.,,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/backlink-mention-analyst/,content/agents/backlink-mention-analyst.md,agent,Publish the operating contract for the Backlink & Mention Analyst agent role.,Informational and implementation-oriented,Developers and operators delegating bounded work to AI agents,Backlink & Mention Analyst agent,Backlink & Mention Analyst AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Backlink & Mention Analyst,h1:Backlink & Mention Analyst | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Degraded Operation | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,582,,2026-08-11,Source-linked operating contract with explicit workflow and evidence requirements.,No worked usage example or version history is included beyond the source-linked contract and update date.,,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/cannibalization-analyst/,content/agents/cannibalization-analyst.md,agent,Publish the operating contract for the Cannibalization Analyst agent role.,Informational and implementation-oriented,Developers and operators delegating bounded work to AI agents,Cannibalization Analyst agent,Cannibalization Analyst AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Cannibalization Analyst,h1:Cannibalization Analyst | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Degraded Operation | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,588,,2026-08-11,Source-linked operating contract with explicit workflow and evidence requirements.,No worked usage example or version history is included beyond the source-linked contract and update date.,,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/chain-of-command/,templates/page-agent-set.html,listing,Help readers browse and compare source-grounded agent roles.,Informational and navigational,Developers and technical leads assembling agent teams,Chain of Command,Chain of Command agent roles,agent responsibilities; orchestration; planning; implementation; verification,Chain of Command,h1:Chain of Command,625,,,Repository-generated inventory and direct links to source contracts.,The listing explains roles through excerpts but has no selection guide or real usage examples.,,Add a concise selection guide when real usage evidence is available.
after,https://agents.kujolang.ai/agents/chief-of-staff/,content/agents/chief-of-staff.md,agent,Publish the operating contract for the Chief Of Staff agent role.,Informational and implementation-oriented,Developers and operators delegating bounded work to AI agents,Chief Of Staff agent,Chief Of Staff AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Chief Of Staff,h1:Chief Of Staff | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,374,,2026-08-08,Source-linked operating contract with explicit workflow and evidence requirements.,No worked usage example or version history is included beyond the source-linked contract and update date.,,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/code-reviewer/,content/agents/code-reviewer.md,agent,Publish the operating contract for the Code Reviewer agent role.,Informational and implementation-oriented,Developers and operators delegating bounded work to AI agents,Code Reviewer agent,Code Reviewer AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Code Reviewer,h1:Code Reviewer | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,323,,2026-07-05,Source-linked operating contract with explicit workflow and evidence requirements.,No worked usage example or version history is included beyond the source-linked contract and update date.,,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/competitor-intelligence-analyst/,content/agents/competitor-intelligence-analyst.md,agent,Publish the operating contract for the Competitor Intelligence Analyst agent role.,Informational and implementation-oriented,Developers and operators delegating bounded work to AI agents,Competitor Intelligence Analyst agent,Competitor Intelligence Analyst AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Competitor Intelligence Analyst,h1:Competitor Intelligence Analyst | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Degraded Operation | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,603,,2026-08-11,Source-linked operating contract with explicit workflow and evidence requirements.,No worked usage example or version history is included beyond the source-linked contract and update date.,,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/content-accuracy-reviewer/,content/agents/content-accuracy-reviewer.md,agent,Publish the operating contract for the Content Accuracy Reviewer agent role.,Informational and implementation-oriented,Developers and operators delegating bounded work to AI agents,Content Accuracy Reviewer agent,Content Accuracy Reviewer AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Content Accuracy Reviewer,h1:Content Accuracy Reviewer | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Degraded Operation | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,592,,2026-08-11,Source-linked operating contract with explicit workflow and evidence requirements.,No worked usage example or version history is included beyond the source-linked contract and update date.,,Add only source-grounded examples and change history when they exist.
