phase,source_url,destination_url,anchor_text,link_context,http_status,final_url,chain_length,verification,rel,recommended_action
after,https://agents.kujolang.ai/,https://agents.kujolang.ai/,Kujo Agents,header,200,https://agents.kujolang.ai/,0,rendered local route,,none
after,https://agents.kujolang.ai/,https://agents.kujolang.ai/agent-development-platform/,Build an Agent,nav,200,https://agents.kujolang.ai/agent-development-platform/,0,rendered local route,,none
after,https://agents.kujolang.ai/,https://agents.kujolang.ai/agents/chain-of-command/,Chain of Command,nav,200,https://agents.kujolang.ai/agents/chain-of-command/,0,rendered local route,,none
after,https://agents.kujolang.ai/,https://agents.kujolang.ai/agents/webops/,WebOps,nav,200,https://agents.kujolang.ai/agents/webops/,0,rendered local route,,none
after,https://agents.kujolang.ai/,https://agents.kujolang.ai/agents/videoops/,VideoOps,nav,200,https://agents.kujolang.ai/agents/videoops/,0,rendered local route,,none
after,https://agents.kujolang.ai/,https://agents.kujolang.ai/agents/publishing-house/,Agent roster,nav,200,https://agents.kujolang.ai/agents/publishing-house/,0,rendered local route,,none
after,https://agents.kujolang.ai/,https://agents.kujolang.ai/publishing-house-system/,System overview,nav,200,https://agents.kujolang.ai/publishing-house-system/,0,rendered local route,,none
after,https://agents.kujolang.ai/,https://agents.kujolang.ai/agent-development-platform/,Build an Agent,nav,200,https://agents.kujolang.ai/agent-development-platform/,0,rendered local route,,none
after,https://agents.kujolang.ai/,https://agents.kujolang.ai/agents/,All Agents,nav,200,https://agents.kujolang.ai/agents/,0,rendered local route,,none
after,https://agents.kujolang.ai/,https://agents.kujolang.ai/agents/chain-of-command/,Chain of Command,nav,200,https://agents.kujolang.ai/agents/chain-of-command/,0,rendered local route,,none
after,https://agents.kujolang.ai/,https://agents.kujolang.ai/agents/webops/,WebOps,nav,200,https://agents.kujolang.ai/agents/webops/,0,rendered local route,,none
after,https://agents.kujolang.ai/,https://agents.kujolang.ai/agents/videoops/,VideoOps,nav,200,https://agents.kujolang.ai/agents/videoops/,0,rendered local route,,none
after,https://agents.kujolang.ai/,https://agents.kujolang.ai/agents/publishing-house/,Agent roster,nav,200,https://agents.kujolang.ai/agents/publishing-house/,0,rendered local route,,none
after,https://agents.kujolang.ai/,https://agents.kujolang.ai/publishing-house-system/,System overview,nav,200,https://agents.kujolang.ai/publishing-house-system/,0,rendered local route,,none
after,https://agents.kujolang.ai/,https://agents.kujolang.ai/agents/,Explore Agents,main,200,https://agents.kujolang.ai/agents/,0,rendered local route,,none
after,https://agents.kujolang.ai/,https://agents.kujolang.ai/agent-development-platform/,Build your own agent,main,200,https://agents.kujolang.ai/agent-development-platform/,0,rendered local route,,none
after,https://agents.kujolang.ai/,https://agents.kujolang.ai/agents/risk-officer/,Risk Officer,main,200,https://agents.kujolang.ai/agents/risk-officer/,0,rendered local route,,none
after,https://agents.kujolang.ai/,https://agents.kujolang.ai/agents/release-verifier/,Release Verifier,main,200,https://agents.kujolang.ai/agents/release-verifier/,0,rendered local route,,none
after,https://agents.kujolang.ai/,https://agents.kujolang.ai/agents/chain-of-command/,Chain of Command,main,200,https://agents.kujolang.ai/agents/chain-of-command/,0,rendered local route,,none
after,https://agents.kujolang.ai/,https://agents.kujolang.ai/agents/general-commander/,"Strategic General Commander Interpret broad missions, choose agent lanes, resolve cross-agent conflicts, synthesize final outcomes, and escalate unresolved risk. View Agent online",main,200,https://agents.kujolang.ai/agents/general-commander/,0,rendered local route,,none
after,https://agents.kujolang.ai/,https://agents.kujolang.ai/agents/chief-of-staff/,"Strategic Chief Of Staff Turn vague goals into structured objectives, assign lanes, manage handoffs, and keep work auditable. View Agent online",main,200,https://agents.kujolang.ai/agents/chief-of-staff/,0,rendered local route,,none
after,https://agents.kujolang.ai/,https://agents.kujolang.ai/agents/systems-architect/,"Strategic Systems Architect Own architecture, module boundaries, platform decisions, runtime tradeoffs, and long-term technical coherence. View Agent online",main,200,https://agents.kujolang.ai/agents/systems-architect/,0,rendered local route,,none
