phase,url,title,title_length,meta_description,description_length,h1_count,canonical,og_title,og_description,og_url,og_image,twitter_card,twitter_title,twitter_description,twitter_image,issues
after,https://agents.kujolang.ai/404.html,Page Not Found | Kujo Agents,28,Page not found,14,1,,Page Not Found,Page not found,https://agents.kujolang.ai/404.html,,summary_large_image,Page Not Found,Page not found,,
after,https://agents.kujolang.ai/agents/backend-developer/,Backend Developer | Kujo Agents,31,"Implement APIs, persistence, jobs, auth boundaries, service logic, and server-side integrations within a bounded task.",118,1,https://agents.kujolang.ai/agents/backend-developer/,Backend Developer,"Implement APIs, persistence, jobs, auth boundaries, service logic, and server-side integrations within a bounded task.",https://agents.kujolang.ai/agents/backend-developer/,https://agents.kujolang.ai/images/backend-developer-daca76a2cd95.webp,summary_large_image,Backend Developer,"Implement APIs, persistence, jobs, auth boundaries, service logic, and server-side integrations within a bounded task.",https://agents.kujolang.ai/images/backend-developer-daca76a2cd95.webp,
after,https://agents.kujolang.ai/agents/chain-of-command/,Chain of Command Agents | Kujo Agents,37,"A coordinated roster for strategy, planning, execution, verification, knowledge, and routine work.",98,1,https://agents.kujolang.ai/agents/chain-of-command/,Chain of Command Agents,"A coordinated roster for strategy, planning, execution, verification, knowledge, and routine work.",https://agents.kujolang.ai/agents/chain-of-command/,https://agents.kujolang.ai/assets/images/agent-hero-background.webp,summary_large_image,Chain of Command Agents,"A coordinated roster for strategy, planning, execution, verification, knowledge, and routine work.",https://agents.kujolang.ai/assets/images/agent-hero-background.webp,
after,https://agents.kujolang.ai/agents/chief-of-staff/,Chief Of Staff | Kujo Agents,28,"Turn vague goals into structured objectives, assign lanes, manage handoffs, and keep work auditable.",100,1,https://agents.kujolang.ai/agents/chief-of-staff/,Chief Of Staff,"Turn vague goals into structured objectives, assign lanes, manage handoffs, and keep work auditable.",https://agents.kujolang.ai/agents/chief-of-staff/,https://agents.kujolang.ai/images/chief-of-staff-2e6f76b93f30.webp,summary_large_image,Chief Of Staff,"Turn vague goals into structured objectives, assign lanes, manage handoffs, and keep work auditable.",https://agents.kujolang.ai/images/chief-of-staff-2e6f76b93f30.webp,
after,https://agents.kujolang.ai/agents/code-reviewer/,Code Reviewer | Kujo Agents,27,"Review diffs for bugs, regressions, contract drift, missing tests, unsafe scope, and documentation mismatches.",110,1,https://agents.kujolang.ai/agents/code-reviewer/,Code Reviewer,"Review diffs for bugs, regressions, contract drift, missing tests, unsafe scope, and documentation mismatches.",https://agents.kujolang.ai/agents/code-reviewer/,https://agents.kujolang.ai/images/kujo-logomark-af568480fc2c.svg,summary_large_image,Code Reviewer,"Review diffs for bugs, regressions, contract drift, missing tests, unsafe scope, and documentation mismatches.",https://agents.kujolang.ai/images/kujo-logomark-af568480fc2c.svg,
after,https://agents.kujolang.ai/agents/context-packager/,Context Packager | Kujo Agents,30,"Prepare compact context bundles, execution packs, workflow summaries, and handoff packets for downstream agents.",112,1,https://agents.kujolang.ai/agents/context-packager/,Context Packager,"Prepare compact context bundles, execution packs, workflow summaries, and handoff packets for downstream agents.",https://agents.kujolang.ai/agents/context-packager/,https://agents.kujolang.ai/images/kujo-logomark-af568480fc2c.svg,summary_large_image,Context Packager,"Prepare compact context bundles, execution packs, workflow summaries, and handoff packets for downstream agents.",https://agents.kujolang.ai/images/kujo-logomark-af568480fc2c.svg,
after,https://agents.kujolang.ai/agents/core-developer/,Core Developer | Kujo Agents,28,Implement bounded source changes and focused tests inside an assigned scope.,76,1,https://agents.kujolang.ai/agents/core-developer/,Core Developer,Implement bounded source changes and focused tests inside an assigned scope.,https://agents.kujolang.ai/agents/core-developer/,https://agents.kujolang.ai/images/core-developer-422309ea814e.webp,summary_large_image,Core Developer,Implement bounded source changes and focused tests inside an assigned scope.,https://agents.kujolang.ai/images/core-developer-422309ea814e.webp,
after,https://agents.kujolang.ai/agents/dependency-scanner/,Dependency Scanner | Kujo Agents,32,"Run explicit dependency, package, manifest, lockfile, and package-status checks.",80,1,https://agents.kujolang.ai/agents/dependency-scanner/,Dependency Scanner,"Run explicit dependency, package, manifest, lockfile, and package-status checks.",https://agents.kujolang.ai/agents/dependency-scanner/,https://agents.kujolang.ai/images/kujo-logomark-af568480fc2c.svg,summary_large_image,Dependency Scanner,"Run explicit dependency, package, manifest, lockfile, and package-status checks.",https://agents.kujolang.ai/images/kujo-logomark-af568480fc2c.svg,
after,https://agents.kujolang.ai/agents/documentation-writer/,Documentation Writer | Kujo Agents,34,"Update READMEs, onboarding docs, changelogs, examples, runbooks, and user-facing technical documentation from source-grounded facts.",132,1,https://agents.kujolang.ai/agents/documentation-writer/,Documentation Writer,"Update READMEs, onboarding docs, changelogs, examples, runbooks, and user-facing technical documentation from source-grounded facts.",https://agents.kujolang.ai/agents/documentation-writer/,https://agents.kujolang.ai/images/kujo-logomark-af568480fc2c.svg,summary_large_image,Documentation Writer,"Update READMEs, onboarding docs, changelogs, examples, runbooks, and user-facing technical documentation from source-grounded facts.",https://agents.kujolang.ai/images/kujo-logomark-af568480fc2c.svg,
after,https://agents.kujolang.ai/agents/frontend-developer/,Frontend Developer | Kujo Agents,32,"Implement user interfaces, interaction flows, responsive behavior, and browser-verifiable frontend changes.",107,1,https://agents.kujolang.ai/agents/frontend-developer/,Frontend Developer,"Implement user interfaces, interaction flows, responsive behavior, and browser-verifiable frontend changes.",https://agents.kujolang.ai/agents/frontend-developer/,https://agents.kujolang.ai/images/frontend-developer-38b0ab2f6a78.webp,summary_large_image,Frontend Developer,"Implement user interfaces, interaction flows, responsive behavior, and browser-verifiable frontend changes.",https://agents.kujolang.ai/images/frontend-developer-38b0ab2f6a78.webp,
after,https://agents.kujolang.ai/agents/general-commander/,General Commander | Kujo Agents,31,"Interpret broad missions, choose agent lanes, resolve cross-agent conflicts, synthesize final outcomes, and escalate unresolved risk.",133,1,https://agents.kujolang.ai/agents/general-commander/,General Commander,"Interpret broad missions, choose agent lanes, resolve cross-agent conflicts, synthesize final outcomes, and escalate unresolved risk.",https://agents.kujolang.ai/agents/general-commander/,https://agents.kujolang.ai/images/general-commander-b873a4f8d54c.webp,summary_large_image,General Commander,"Interpret broad missions, choose agent lanes, resolve cross-agent conflicts, synthesize final outcomes, and escalate unresolved risk.",https://agents.kujolang.ai/images/general-commander-b873a4f8d54c.webp,
after,https://agents.kujolang.ai/agents/,Agents | Kujo Agents,20,"Browse source-grounded Kujo agent contracts for planning, implementation, verification, research, security, and operations.",123,1,https://agents.kujolang.ai/agents/,Agents,"Browse source-grounded Kujo agent contracts for planning, implementation, verification, research, security, and operations.",https://agents.kujolang.ai/agents/,https://agents.kujolang.ai/assets/images/agent-hero-background.webp,summary_large_image,Agents,"Browse source-grounded Kujo agent contracts for planning, implementation, verification, research, security, and operations.",https://agents.kujolang.ai/assets/images/agent-hero-background.webp,
after,https://agents.kujolang.ai/agents/integration-engineer/,Integration Engineer | Kujo Agents,34,"Connect GitHub/GitLab, MCP, CI, external services, deployment systems, telemetry, provider adapters, and workflow orchestration boundaries.",139,1,https://agents.kujolang.ai/agents/integration-engineer/,Integration Engineer,"Connect GitHub/GitLab, MCP, CI, external services, deployment systems, telemetry, provider adapters, and workflow orchestration boundaries.",https://agents.kujolang.ai/agents/integration-engineer/,https://agents.kujolang.ai/images/kujo-logomark-af568480fc2c.svg,summary_large_image,Integration Engineer,"Connect GitHub/GitLab, MCP, CI, external services, deployment systems, telemetry, provider adapters, and workflow orchestration boundaries.",https://agents.kujolang.ai/images/kujo-logomark-af568480fc2c.svg,
after,https://agents.kujolang.ai/agents/issue-hygiene-worker/,Issue Hygiene Worker | Kujo Agents,34,"Check explicitly assigned issue hygiene conditions such as duplicates, stale status, labels, milestones, or missing reproduction details.",137,1,https://agents.kujolang.ai/agents/issue-hygiene-worker/,Issue Hygiene Worker,"Check explicitly assigned issue hygiene conditions such as duplicates, stale status, labels, milestones, or missing reproduction details.",https://agents.kujolang.ai/agents/issue-hygiene-worker/,https://agents.kujolang.ai/images/kujo-logomark-af568480fc2c.svg,summary_large_image,Issue Hygiene Worker,"Check explicitly assigned issue hygiene conditions such as duplicates, stale status, labels, milestones, or missing reproduction details.",https://agents.kujolang.ai/images/kujo-logomark-af568480fc2c.svg,
after,https://agents.kujolang.ai/agents/lint-runner/,Lint Runner | Kujo Agents,25,"Run explicit lint, format-check, static-check, or compile-check commands and report exact results.",98,1,https://agents.kujolang.ai/agents/lint-runner/,Lint Runner,"Run explicit lint, format-check, static-check, or compile-check commands and report exact results.",https://agents.kujolang.ai/agents/lint-runner/,https://agents.kujolang.ai/images/kujo-logomark-af568480fc2c.svg,summary_large_image,Lint Runner,"Run explicit lint, format-check, static-check, or compile-check commands and report exact results.",https://agents.kujolang.ai/images/kujo-logomark-af568480fc2c.svg,
after,https://agents.kujolang.ai/agents/planner/,Planner | Kujo Agents,21,"Convert goals into milestones, tasks, sequencing, dependencies, acceptance criteria, and verification plans.",108,1,https://agents.kujolang.ai/agents/planner/,Planner,"Convert goals into milestones, tasks, sequencing, dependencies, acceptance criteria, and verification plans.",https://agents.kujolang.ai/agents/planner/,https://agents.kujolang.ai/images/planner-e871338c4b36.webp,summary_large_image,Planner,"Convert goals into milestones, tasks, sequencing, dependencies, acceptance criteria, and verification plans.",https://agents.kujolang.ai/images/planner-e871338c4b36.webp,
after,https://agents.kujolang.ai/agents/product-strategist/,Product Strategist | Kujo Agents,32,"Own user value, roadmap fit, feature framing, adoption assumptions, and ICP alignment.",86,1,https://agents.kujolang.ai/agents/product-strategist/,Product Strategist,"Own user value, roadmap fit, feature framing, adoption assumptions, and ICP alignment.",https://agents.kujolang.ai/agents/product-strategist/,https://agents.kujolang.ai/images/product-strategist-d1ec402a746c.webp,summary_large_image,Product Strategist,"Own user value, roadmap fit, feature framing, adoption assumptions, and ICP alignment.",https://agents.kujolang.ai/images/product-strategist-d1ec402a746c.webp,
after,https://agents.kujolang.ai/agents/qa-lead/,QA Lead | Kujo Agents,21,"Define test plans, evidence requirements, acceptance gates, and quality status for a change or release candidate.",113,1,https://agents.kujolang.ai/agents/qa-lead/,QA Lead,"Define test plans, evidence requirements, acceptance gates, and quality status for a change or release candidate.",https://agents.kujolang.ai/agents/qa-lead/,https://agents.kujolang.ai/images/kujo-logomark-af568480fc2c.svg,summary_large_image,QA Lead,"Define test plans, evidence requirements, acceptance gates, and quality status for a change or release candidate.",https://agents.kujolang.ai/images/kujo-logomark-af568480fc2c.svg,
after,https://agents.kujolang.ai/agents/receipt-collector/,Receipt Collector | Kujo Agents,31,"Capture command output, logs, RunLedger receipts, CaseFile bundles, Watchdog telemetry references, and evidence paths for auditability.",135,1,https://agents.kujolang.ai/agents/receipt-collector/,Receipt Collector,"Capture command output, logs, RunLedger receipts, CaseFile bundles, Watchdog telemetry references, and evidence paths for auditability.",https://agents.kujolang.ai/agents/receipt-collector/,https://agents.kujolang.ai/images/kujo-logomark-af568480fc2c.svg,summary_large_image,Receipt Collector,"Capture command output, logs, RunLedger receipts, CaseFile bundles, Watchdog telemetry references, and evidence paths for auditability.",https://agents.kujolang.ai/images/kujo-logomark-af568480fc2c.svg,
after,https://agents.kujolang.ai/agents/release-verifier/,Release Verifier | Kujo Agents,30,"Check release readiness, run or coordinate release gates, and report blockers before ship decisions.",100,1,https://agents.kujolang.ai/agents/release-verifier/,Release Verifier,"Check release readiness, run or coordinate release gates, and report blockers before ship decisions.",https://agents.kujolang.ai/agents/release-verifier/,https://agents.kujolang.ai/images/kujo-logomark-af568480fc2c.svg,summary_large_image,Release Verifier,"Check release readiness, run or coordinate release gates, and report blockers before ship decisions.",https://agents.kujolang.ai/images/kujo-logomark-af568480fc2c.svg,
after,https://agents.kujolang.ai/agents/research-analyst/,Research Analyst | Kujo Agents,30,"Gather repo, API, dependency, workflow, or technical context and separate confirmed facts from inference.",105,1,https://agents.kujolang.ai/agents/research-analyst/,Research Analyst,"Gather repo, API, dependency, workflow, or technical context and separate confirmed facts from inference.",https://agents.kujolang.ai/agents/research-analyst/,https://agents.kujolang.ai/images/research-analyst-857221740bc4.webp,summary_large_image,Research Analyst,"Gather repo, API, dependency, workflow, or technical context and separate confirmed facts from inference.",https://agents.kujolang.ai/images/research-analyst-857221740bc4.webp,
after,https://agents.kujolang.ai/agents/risk-officer/,Risk Officer | Kujo Agents,26,"Identify risk, security concerns, migration issues, release blockers, scope creep, and evidence gaps before or during work.",123,1,https://agents.kujolang.ai/agents/risk-officer/,Risk Officer,"Identify risk, security concerns, migration issues, release blockers, scope creep, and evidence gaps before or during work.",https://agents.kujolang.ai/agents/risk-officer/,https://agents.kujolang.ai/images/risk-officer-ebf348e4bd3d.webp,summary_large_image,Risk Officer,"Identify risk, security concerns, migration issues, release blockers, scope creep, and evidence gaps before or during work.",https://agents.kujolang.ai/images/risk-officer-ebf348e4bd3d.webp,
after,https://agents.kujolang.ai/agents/routine-worker/,Routine Worker | Kujo Agents,28,Run explicitly assigned local commands or scripts and report exact results without interpretation beyond simple status.,119,1,https://agents.kujolang.ai/agents/routine-worker/,Routine Worker,Run explicitly assigned local commands or scripts and report exact results without interpretation beyond simple status.,https://agents.kujolang.ai/agents/routine-worker/,https://agents.kujolang.ai/images/kujo-logomark-af568480fc2c.svg,summary_large_image,Routine Worker,Run explicitly assigned local commands or scripts and report exact results without interpretation beyond simple status.,https://agents.kujolang.ai/images/kujo-logomark-af568480fc2c.svg,
after,https://agents.kujolang.ai/agents/security-reviewer/,Security Reviewer | Kujo Agents,31,"Review secrets, auth, host effects, path boundaries, network exposure, unsafe commands, dependency risk, and sensitive artifacts.",129,1,https://agents.kujolang.ai/agents/security-reviewer/,Security Reviewer,"Review secrets, auth, host effects, path boundaries, network exposure, unsafe commands, dependency risk, and sensitive artifacts.",https://agents.kujolang.ai/agents/security-reviewer/,https://agents.kujolang.ai/images/kujo-logomark-af568480fc2c.svg,summary_large_image,Security Reviewer,"Review secrets, auth, host effects, path boundaries, network exposure, unsafe commands, dependency risk, and sensitive artifacts.",https://agents.kujolang.ai/images/kujo-logomark-af568480fc2c.svg,
after,https://agents.kujolang.ai/agents/sitrep-agent/,SITREP Agent | Kujo Agents,26,"Produce short status reports, current-state summaries, and handoff snapshots from available evidence.",101,1,https://agents.kujolang.ai/agents/sitrep-agent/,SITREP Agent,"Produce short status reports, current-state summaries, and handoff snapshots from available evidence.",https://agents.kujolang.ai/agents/sitrep-agent/,https://agents.kujolang.ai/images/kujo-logomark-af568480fc2c.svg,summary_large_image,SITREP Agent,"Produce short status reports, current-state summaries, and handoff snapshots from available evidence.",https://agents.kujolang.ai/images/kujo-logomark-af568480fc2c.svg,
after,https://agents.kujolang.ai/agents/spec-writer/,Spec Writer | Kujo Agents,25,"Create and maintain task contracts with scope, acceptance criteria, eval requirements, risks, dependencies, and review expectations.",132,1,https://agents.kujolang.ai/agents/spec-writer/,Spec Writer,"Create and maintain task contracts with scope, acceptance criteria, eval requirements, risks, dependencies, and review expectations.",https://agents.kujolang.ai/agents/spec-writer/,https://agents.kujolang.ai/images/spec-writer-b285befd1d57.webp,summary_large_image,Spec Writer,"Create and maintain task contracts with scope, acceptance criteria, eval requirements, risks, dependencies, and review expectations.",https://agents.kujolang.ai/images/spec-writer-b285befd1d57.webp,
after,https://agents.kujolang.ai/agents/systems-architect/,Systems Architect | Kujo Agents,31,"Own architecture, module boundaries, platform decisions, runtime tradeoffs, and long-term technical coherence.",110,1,https://agents.kujolang.ai/agents/systems-architect/,Systems Architect,"Own architecture, module boundaries, platform decisions, runtime tradeoffs, and long-term technical coherence.",https://agents.kujolang.ai/agents/systems-architect/,https://agents.kujolang.ai/images/systems-architect-87cc508a9cbe.webp,summary_large_image,Systems Architect,"Own architecture, module boundaries, platform decisions, runtime tradeoffs, and long-term technical coherence.",https://agents.kujolang.ai/images/systems-architect-87cc508a9cbe.webp,
after,https://agents.kujolang.ai/agents/test-runner/,Test Runner | Kujo Agents,25,"Run explicit test, eval, or smoke commands and report exact results.",68,1,https://agents.kujolang.ai/agents/test-runner/,Test Runner,"Run explicit test, eval, or smoke commands and report exact results.",https://agents.kujolang.ai/agents/test-runner/,https://agents.kujolang.ai/images/kujo-logomark-af568480fc2c.svg,summary_large_image,Test Runner,"Run explicit test, eval, or smoke commands and report exact results.",https://agents.kujolang.ai/images/kujo-logomark-af568480fc2c.svg,
after,https://agents.kujolang.ai/agents/tooling-developer/,Tooling Developer | Kujo Agents,31,"Build or maintain CLI tools, scripts, local automation, developer workflows, and KUJO tool integrations.",104,1,https://agents.kujolang.ai/agents/tooling-developer/,Tooling Developer,"Build or maintain CLI tools, scripts, local automation, developer workflows, and KUJO tool integrations.",https://agents.kujolang.ai/agents/tooling-developer/,https://agents.kujolang.ai/images/tooling-developer-5dfd9abd0490.webp,summary_large_image,Tooling Developer,"Build or maintain CLI tools, scripts, local automation, developer workflows, and KUJO tool integrations.",https://agents.kujolang.ai/images/tooling-developer-5dfd9abd0490.webp,
