phase,url,primary_topic,primary_entity,search_intent,primary_query_theme,secondary_queries,related_entities,relevant_questions,competing_internal_url,content_gap,recommended_action
after,https://agents.kujolang.ai/404.html,Explain that the requested route is unavailable.,Kujo Agents,Error recovery,page not found,agent directory,Kujo; AI agents; agent contracts; multi-agent workflows,,,Not applicable to search; excluded from indexing.,Keep noindex and route users to the agent directory.
after,https://agents.kujolang.ai/agents/backend-developer/,Publish the operating contract for the Backend Developer agent role.,Backend Developer agent,Informational and implementation-oriented,Backend Developer AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Kujo; AI agents; agent contracts; multi-agent workflows,When should I use a Backend Developer agent?; What inputs and outputs does Backend Developer require?,,No worked usage example or version history is included beyond the source-linked contract and update date.,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/chain-of-command/,Help readers browse and compare source-grounded agent roles.,Chain of Command,Informational and navigational,Chain of Command agent roles,agent responsibilities; orchestration; planning; implementation; verification,Kujo; AI agents; agent contracts; multi-agent workflows,Which chain of command role fits my task?; How are the agents organized?,,The listing explains roles through excerpts but has no selection guide or real usage examples.,Add a concise selection guide when real usage evidence is available.
after,https://agents.kujolang.ai/agents/chief-of-staff/,Publish the operating contract for the Chief Of Staff agent role.,Chief Of Staff agent,Informational and implementation-oriented,Chief Of Staff AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Kujo; AI agents; agent contracts; multi-agent workflows,When should I use a Chief Of Staff agent?; What inputs and outputs does Chief Of Staff require?,,No worked usage example or version history is included beyond the source-linked contract and update date.,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/code-reviewer/,Publish the operating contract for the Code Reviewer agent role.,Code Reviewer agent,Informational and implementation-oriented,Code Reviewer AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Kujo; AI agents; agent contracts; multi-agent workflows,When should I use a Code Reviewer agent?; What inputs and outputs does Code Reviewer require?,,No worked usage example or version history is included beyond the source-linked contract and update date.,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/context-packager/,Publish the operating contract for the Context Packager agent role.,Context Packager agent,Informational and implementation-oriented,Context Packager AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Kujo; AI agents; agent contracts; multi-agent workflows,When should I use a Context Packager agent?; What inputs and outputs does Context Packager require?,,No worked usage example or version history is included beyond the source-linked contract and update date.,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/core-developer/,Publish the operating contract for the Core Developer agent role.,Core Developer agent,Informational and implementation-oriented,Core Developer AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Kujo; AI agents; agent contracts; multi-agent workflows,When should I use a Core Developer agent?; What inputs and outputs does Core Developer require?,,No worked usage example or version history is included beyond the source-linked contract and update date.,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/dependency-scanner/,Publish the operating contract for the Dependency Scanner agent role.,Dependency Scanner agent,Informational and implementation-oriented,Dependency Scanner AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Kujo; AI agents; agent contracts; multi-agent workflows,When should I use a Dependency Scanner agent?; What inputs and outputs does Dependency Scanner require?,,No worked usage example or version history is included beyond the source-linked contract and update date.,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/documentation-writer/,Publish the operating contract for the Documentation Writer agent role.,Documentation Writer agent,Informational and implementation-oriented,Documentation Writer AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Kujo; AI agents; agent contracts; multi-agent workflows,When should I use a Documentation Writer agent?; What inputs and outputs does Documentation Writer require?,,No worked usage example or version history is included beyond the source-linked contract and update date.,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/frontend-developer/,Publish the operating contract for the Frontend Developer agent role.,Frontend Developer agent,Informational and implementation-oriented,Frontend Developer AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Kujo; AI agents; agent contracts; multi-agent workflows,When should I use a Frontend Developer agent?; What inputs and outputs does Frontend Developer require?,,No worked usage example or version history is included beyond the source-linked contract and update date.,Add only source-grounded examples and change history when they exist.
