id,phase,category,severity,affected_urls,affected_count,evidence,expected_benefit,confidence,difficulty,recommended_action,owner,status
SEO-001,baseline,indexability,P1,https://agents.kujolang.ai/agents/webops/,1,"Indexed sitemap URL contained only three generic coming-soon placeholders.",Avoid low-value or soft-404-like index entries,high,low,"Apply noindex,follow and remove the URL from the sitemap until real contracts exist.",repository,completed
SEO-002,baseline,error handling,P1,all missing nested routes,1,"Generated 404 canonicalized to the homepage, had no noindex, and used relative assets that fail on nested missing URLs.",Prevent incorrect canonical signals and preserve usable error recovery,high,medium,"Remove the 404 canonical and schema, add noindex,follow, and use root-relative assets/navigation.",repository,completed
SEO-003,baseline,structured data,P2,28 agent detail URLs,28,"Agent contracts used ProfilePage even though they describe source-linked software instruction contracts rather than people or organizations.",Improve entity interpretation and factual schema alignment,high,medium,"Use SoftwareSourceCode with codeRepository, maintainer, publisher, and dateModified from visible/source facts.",repository,completed
SEO-004,baseline,media,P2,31 HTML pages,112,"Rendered card and detail images omitted intrinsic width and height attributes.",Reduce layout instability and improve media readiness,high,low,"Emit truthful square intrinsic dimensions for portrait and logomark placements.",repository,completed
SEO-005,baseline,performance,P1,"homepage; agent directory; illustrated agent detail pages",3,"Baseline Lighthouse transferred 5,078,406 image bytes on home, 3,949,942 on the directory, and 181,437 on the sampled detail page.",Reduce transfer cost and improve lab rendering metrics,high,medium,"Resize portraits to 640×640 and encode optimized WebP assets.",repository,completed
SEO-006,baseline,performance,P2,https://agents.kujolang.ai/,1,"Animated half-resolution ordered dither repeatedly processed hundreds of thousands of pixels on the main thread.",Reduce total blocking time and CPU use while preserving the visual treatment,high,medium,"Render one static ordered-dither pass at one-sixth resolution.",repository,completed
SEO-007,baseline,metadata,P2,"homepage; /agents/",2,"Homepage and agent directory shared the same description; listing/home social images were absent.",Make page purpose and social previews distinct,high,low,"Give the directory a unique factual description and use the existing hero art for social previews.",repository,completed
SEO-008,baseline,canonicalization,P2,sitewide navigation,33,"Brand links resolved to /index.html instead of the canonical root URL.",Keep internal link signals aligned with the declared canonical,high,low,"Point sitewide brand navigation directly to /.",repository,completed
SEO-009,baseline,sitemap,P2,28 agent detail URLs,28,"Agent last_updated values were not emitted as sitemap lastmod values.",Provide accurate freshness hints to crawlers,high,low,"Parse existing last_updated values and emit them as lastmod.",repository,completed
SEO-010,after,infrastructure,P2,"http://www.agents.kujolang.ai/; https://www.agents.kujolang.ai/",2,"Both www variants failed DNS resolution in live production probes.",Make common host variants resolve or redirect consistently,high,medium,"Create a Cloudflare/DNS www record and one-hop permanent redirect to the canonical host if the owner wants www support.",infrastructure owner,open
SEO-011,after,security headers,P2,production site,33,"Generated _headers exists, but GitHub Pages did not serve its declared security headers through production.",Apply defense-in-depth headers at the effective edge,high,medium,"Configure equivalent Cloudflare response-header rules; GitHub Pages does not interpret the _headers file.",infrastructure owner,open
SEO-012,baseline,search visibility,P2,representative query set,4,"No agents.kujolang.ai result appeared in the dated returned result sets for the four recorded observations.",Establish indexing and discoverability rather than infer rankings,medium,medium,"Verify properties and sitemap processing in Google Search Console and Bing Webmaster Tools; remeasure after elapsed time.",site owner,open
SEO-013,baseline,content evidence,P2,28 agent detail URLs,28,"Contracts are detailed and source-linked but do not include worked usage examples or version histories beyond update dates.",Increase usefulness and citation-worthiness with genuine first-hand evidence,medium,high,"Add only real source-grounded examples, outcomes, and change history with editorial approval.",editor,open
SEO-014,baseline,measurement,P2,sitewide,33,"Search Console, Bing Webmaster Tools, analytics, CDN logs, field CWV, backlinks, and controlled AI-answer sessions were not accessible.",Enable outcome measurement without fabrication,high,medium,"Grant read-only data access and repeat the stored query and AI benchmark sets.",site owner,blocked-data-access
